km	long	lat	alt	name
79.373	131.12152	-12.95234	82.2	
79.764	131.12079	-12.95580	87.2	
79.867	131.12060	-12.95672	88.4	
79.975	131.12041	-12.95767	89.5	
80.156	131.12011	-12.95928	91.3	
80.416	131.11966	-12.96159	95.3	
80.490	131.11953	-12.96225	96.0	
80.714	131.11907	-12.96422	98.0	
80.789	131.11882	-12.96485	98.7	
81.057	131.11761	-12.96697	99.3	
81.332	131.11665	-12.96927	94.5	
81.494	131.11641	-12.97071	89.1	
81.576	131.11637	-12.97145	85.5	
81.658	131.11640	-12.97219	85.4	
82.003	131.11662	-12.97530	88.4	
82.591	131.11695	-12.98061	81.6	
82.770	131.11707	-12.98222	80.8	
83.313	131.11742	-12.98712	76.3	
83.496	131.11753	-12.98877	74.7	
84.096	131.11786	-12.99418	73.6	
84.306	131.11801	-12.99608	72.3	
84.411	131.11811	-12.99702	70.2	
84.694	131.11875	-12.99950	68.4	
84.797	131.11909	-13.00037	71.1	
84.966	131.11979	-13.00173	73.4	
85.097	131.12040	-13.00276	85.6	
85.596	131.12267	-13.00668	72.3	
85.734	131.12310	-13.00785	72.1	
85.768	131.12318	-13.00815	70.3	
85.838	131.12330	-13.00877	66.9	
85.908	131.12338	-13.00940	64.7	
86.013	131.12340	-13.01035	61.3	
86.083	131.12335	-13.01098	59.4	
86.225	131.12310	-13.01224	57.0	
86.331	131.12283	-13.01316	53.7	
86.538	131.12231	-13.01496	56.1	
86.843	131.12174	-13.01766	57.0	
86.945	131.12174	-13.01858	55.7	
87.181	131.12213	-13.02068	57.8	
87.417	131.12239	-13.02280	55.5	
87.557	131.12228	-13.02406	57.6	
87.662	131.12208	-13.02499	59.0	
87.803	131.12180	-13.02623	63.4	
88.014	131.12139	-13.02810	65.4	
88.049	131.12132	-13.02841	65.9	
88.510	131.12043	-13.03248	70.9	
89.019	131.11933	-13.03695	68.9	
89.258	131.11843	-13.03893	65.0	
89.571	131.11707	-13.04142	63.1	
90.302	131.11389	-13.04725	62.4	
90.820	131.11167	-13.05139	60.0	
91.066	131.11058	-13.05334	60.4	
91.352	131.10934	-13.05562	61.6	
91.970	131.10668	-13.06056	61.6	
92.151	131.10619	-13.06213	63.9	
92.295	131.10600	-13.06342	67.6	
92.724	131.10556	-13.06727	64.3	
92.832	131.10544	-13.06824	65.4	
92.976	131.10529	-13.06953	65.3	
93.633	131.10467	-13.07544	65.1	
93.670	131.10468	-13.07577	65.0	
93.889	131.10504	-13.07772	67.3	
93.960	131.10526	-13.07833	69.8	
94.067	131.10566	-13.07921	70.7	
94.243	131.10634	-13.08065	76.3	
94.596	131.10771	-13.08355	72.0	
95.031	131.10921	-13.08720	70.2	
95.289	131.10963	-13.08949	70.2	
95.588	131.10964	-13.09219	70.0	
95.892	131.10930	-13.09492	70.1	
96.658	131.10842	-13.10179	74.4	
96.770	131.10832	-13.10280	77.5	
96.954	131.10831	-13.10446	78.8	
97.334	131.10854	-13.10789	79.4	
97.486	131.10858	-13.10926	80.3	
97.575	131.10855	-13.11007	80.6	
97.652	131.10847	-13.11076	81.2	
97.740	131.10835	-13.11155	81.0	
97.809	131.10822	-13.11216	80.9	
97.862	131.10811	-13.11262	81.2	
97.959	131.10793	-13.11348	81.9	
98.097	131.10772	-13.11471	81.6	
98.191	131.10763	-13.11556	81.3	
98.299	131.10756	-13.11653	78.6	
98.438	131.10746	-13.11778	75.0	
98.572	131.10736	-13.11899	74.0	
98.672	131.10729	-13.11989	73.1	
98.742	131.10724	-13.12052	72.4	
99.006	131.10705	-13.12290	71.4	
99.151	131.10694	-13.12421	71.4	
99.239	131.10688	-13.12500	72.0	
99.422	131.10675	-13.12665	70.3	
99.680	131.10676	-13.12898	70.3	
99.904	131.10705	-13.13099	71.5	
100.052	131.10725	-13.13231	71.3	
100.187	131.10739	-13.13352	69.6	
100.230	131.10740	-13.13391	68.0	
100.280	131.10739	-13.13436	66.7	
100.362	131.10735	-13.13510	65.9	
100.639	131.10722	-13.13760	65.2	
100.852	131.10711	-13.13953	64.3	
101.198	131.10694	-13.14265	63.8	
101.284	131.10690	-13.14343	64.5	
101.349	131.10687	-13.14401	64.3	
101.370	131.10686	-13.14420	64.2	
101.537	131.10678	-13.14571	61.7	
101.707	131.10668	-13.14724	61.7	
101.750	131.10666	-13.14763	61.8	
101.793	131.10664	-13.14802	61.4	
101.814	131.10663	-13.14821	61.1	
101.858	131.10661	-13.14861	61.0	
101.902	131.10659	-13.14900	61.0	
101.989	131.10655	-13.14979	62.3	
102.011	131.10654	-13.14999	62.7	
102.033	131.10653	-13.15019	62.4	
102.221	131.10643	-13.15188	61.4	
102.268	131.10641	-13.15231	61.4	
102.292	131.10640	-13.15252	61.3	
102.315	131.10639	-13.15273	61.1	
102.361	131.10637	-13.15315	60.5	
102.431	131.10634	-13.15378	60.8	
102.478	131.10631	-13.15420	61.2	
102.501	131.10630	-13.15441	61.2	
102.693	131.10621	-13.15614	60.8	
102.817	131.10612	-13.15726	60.7	
102.867	131.10606	-13.15771	60.5	
102.989	131.10589	-13.15880	60.0	
103.037	131.10581	-13.15923	60.0	
103.061	131.10576	-13.15944	60.0	
103.085	131.10571	-13.15965	60.0	
103.467	131.10469	-13.16295	60.4	
103.586	131.10429	-13.16396	59.4	
103.635	131.10413	-13.16437	59.2	
103.709	131.10389	-13.16500	58.7	
103.735	131.10380	-13.16521	58.4	
103.913	131.10322	-13.16672	60.5	
103.965	131.10306	-13.16716	60.7	
103.991	131.10299	-13.16739	60.9	
104.017	131.10291	-13.16761	61.2	
